Language	Filename	Relationships	Speaker_ID	Text	Gloss	Translation	Word_Order	Position_LexVerb	Wordform_A	Wordform_P	Gloss_A	Gloss_P	Case_A	Case_P	Person_A	Person_P	Semantics_A	Semantics_P	Structure_A	Structure_P	Length_A_Syl	Length_P_Syl	Length_A_Words	Length_P_Words	DiscourseStatus_A	DiscourseStatus_P	SituationStatus_A	SituationStatus_P	Verb_Lemma	Semantics_Verb	Tense_Aspect	Utterance_Type	Clause	Formal_Ambiguity	Ditransitive	Idiomatic	FirstArg_Role	FirstArg_Discourse	FirstArg_Situation	Exclude
German	FR_E_00186	NotClear_ConversationPartners	FR_S_00619	der sich gewaschen hatte	that.NOM.SG it.ACC.SG wash have-SG	that is impressive	APV	Final	der	sich	that.NOM.SG	it.ACC/DAT.SG	A_only	P_only	3	3	inanimate	inanimate	Determiner	Pronoun	1	1	1	1	Mentioned_close	Mentioned_close	Present_salient	Present_salient	waschen	causal	Past	declarative	subordinate	Unambiguous	No	Yes	A	Same_Accessibility	Same_Accessibility	QW_RP
German	FR_E_00124	NotClear_ConversationPartners	FR_S_00413	die einzige die einen mitnimmt	the.NOM.SG only.one-NOM.SG who.NOM.SG one-ACC.SG take-SG	the only one who takes one with her	APV	Final	die	einen	who.NOM/ACC.SG	one-ACC	Ambiguous	P_only	3	3	human	inanimate	Determiner	Determiner	1	2	1	1	Mentioned_close	Mentioned_close	Present_salient	Absent_familiar	mitnehmen	noncausal	Present	declarative	subordinate	Unambiguous	No	No	A	Same_Accessibility	More_Accessible	QW_RP
German	FOLK_E_00021	Friends	FOLK_S_00043	die sich auch noch verletzen	who.NOM.PL themselves.ACC also additionally hurt-PL	who even get injured	APV	Final	die	sich	who.NOM/ACC.PL/SG	themselves.ACC	Ambiguous	P_only	3	3	human	human	Determiner	Pronoun	1	1	1	1	Mentioned_far	Mentioned_close	Inferable_salient	Inferable_salient	verletzen	causal	Present	declarative	subordinate	Unambiguous	No	No	A	Less_Accessible	Same_Accessibility	No
German	FOLK_E_00027	Couple	FOLK_S_00182	ob ich so viel Gemüse will	if I.NOM.SG so much.ACC vegetable.ACC want.SG	if I want this many vegetables	APV	Final	ich	so viel Gemüse	I.NOM.SG	so much.ACC/NOM/DAT vegetable.ACC/NOM/DAT	A_only	Ambiguous	1	3	human	inanimate	Pronoun	NP	1	5	1	3	Mentioned_close	New_familiar	Present_salient	Present_nonsalient	wollen	noncausal	Present	declarative	subordinate	Unambiguous	No	No	A	More_Accessible	More_Accessible	No
German	FOLK_E_00346	Couple&Friend	FOLK_S_00995	ob sie da 'ne richtige Handynummer hatte	whether she.NOM.SG there a.ACC.SG right-ACC.SG phone.number.ACC.SG have-SG	whether she had the right phone number	APV	Final	sie	ne richtige Handynummer	she.NOM/ACC	a.ACC/NOM.SG right-ACC/NOM.SG phone.number.ACC/NOM.SG	Ambiguous	Ambiguous	3	3	human	inanimate	Pronoun	NP	1	8	1	3	Mentioned_close	Inferable_close	Absent_familiar	Absent_familiar	haben	noncausal	Past	declarative	subordinate	Unambiguous	No	No	A	More_Accessible	Same_Accessibility	No
German	FR_E_00124	NotClear_ConversationPartners	FR_S_00414	ob wir's abwohnen	if we.NOM.PL-she.ACC.SG live.off-PL	if we will make it shabby	APV	Final	wir	-'s	we.NOM.PL	she.ACC/NOM.SG	A_only	P_only	1	3	human	inanimate	Pronoun	Pronoun	1	0	1	0	Mentioned_close	Mentioned_close	Inferable_salient	Absent_unfamiliar	abwohnen	causal	Present	declarative	subordinate	Unambiguous	No	No	A	Same_Accessibility	More_Accessible	No
German	FOLK_E_00346	Couple&Friend	FOLK_S_00995	oder ob sie dann irgendwie 'n Job findet	or whether she.NOM.SG then somehow a.ACC job.ACC.SG find-SG	or if she finds a job somehow	APV	Final	sie	n Job	she.NOM/ACC	a.ACC/NOM job.ACC/NOM.SG	Ambiguous	Ambiguous	3	3	human	inanimate	Pronoun	NP	1	2	1	2	Mentioned_close	New_familiar	Inferable_salient	Absent_familiar	finden	noncausal	Present	declarative	subordinate	Ambiguous	No	No	A	More_Accessible	More_Accessible	No
German	FR_E_00124	NotClear_ConversationPartners	FR_S_00414	so wie meine Mutter ihren Personalausweis mit in die Waschmaschine tut	so like my-NOM.SG mother.NOM.SG her-ACC.SG ID.card with in the.ACC.SG washing.machine.ACC.SG put.SG	like my mother putting her ID card together with the laundry into the washing machine	APV	Final	meine Mutter	ihren Personalausweis	my-NOM/ACC.SG mother.NOM/ACC.SG	her-ACC.SG ID.card.ACC.SG	Ambiguous	P_only	3	3	human	inanimate	NP	NP	4	7	2	2	New_unfamiliar	New_familiar	Inferable_salient	Absent_familiar	tun	noncausal	Present	declarative	subordinate	Unambiguous	No	No	A	Less_Accessible	More_Accessible	No
German	FR_E_00187	Family	FR_S_00622	weil die doch Winterreifen hat	because she.NOM.SG but winter.tire.ACC.PL have-SG	because she has winter tires	APV	Final	die	Winterreifen	she.NOM/ACC	winter.tire.ACC/NOM/DAT.PL	Ambiguous	Ambiguous	3	3	human	inanimate	Determiner	BareNoun	1	4	1	1	Mentioned_close	New_familiar	Absent_familiar	Absent_familiar	haben	noncausal	Present	declarative	subordinate	Unambiguous	No	No	A	More_Accessible	Same_Accessibility	No
German	FOLK_E_00026	Colleagues	FOLK_S_00046	wenn das Kind auch nur den Finger hebt	when the.NOM.SG child.NOM.SG also just the.ACC.SG finger.ACC.SG raise.SG	even when the child only raises the finger	APV	Final	das Kind	den Finger	the.NOM/ACC.SG child.NOM/ACC.SG	the.ACC.SG finger.ACC.SG	Ambiguous	P_only	3	3	human	inanimate	NP	NP	2	3	2	2	Mentioned_far	New_familiar	Absent_familiar	Absent_familiar	heben	causal	Present	declarative	subordinate	Unambiguous	No	No	A	More_Accessible	Same_Accessibility	No
German	FR_E_00025	StudyColleagues	FR_S_00101	wenn du eine Privatpraxis hast	if you.NOM.SG a.ACC private.practice.ACC.SG have-SG	if you have a private practice	APV	Final	du	eine Privatpraxis	you.NOM.SG	a.ACC/NOM private.practice.ACC/NOM.SG	A_only	Ambiguous	2	3	human	inanimate	Pronoun	NP	1	6	1	2	Non-referential	Mentioned_far	Non-referential	Absent_familiar	haben	noncausal	Present	declarative	subordinate	Unambiguous	No	No	A	No_Comparison	No_Comparison	No
German	FR_E_00187	Family	FR_S_00622	wenn du jetzt 'n Führerschein hättest	if you.NOM.SG now a.ACC driving.licence.ACC.SG would.have-SG	if you would have a driving licence	APV	Final	du	n Führerschein	you.NOM.SG	a.ACC/NOM driving.licence.ACC/NOM.SG	A_only	Ambiguous	2	3	human	inanimate	Pronoun	NP	1	4	1	2	Mentioned_far	New_familiar	Present_salient	Absent_familiar	haben	noncausal	Present	declarative	subordinate	Unambiguous	No	No	A	More_Accessible	More_Accessible	No
German	FR_E_00030	StudyColleagues	FR_S_00120	wenn du mich jetzt um meine persönliche Ansicht fragst	if you.NOM.SG I.ACC.SG now for my-ACC.SG personal-ACC.SG view.ACC.SG ask-SG	if you are asking for my personal opinian	APV	Final	du	mich	you.NOM.SG	I.ACC.SG	A_only	P_only	2	1	human	human	Pronoun	Pronoun	1	1	1	1	Mentioned_close	Mentioned_far	Present_salient	Present_salient	fragen	noncausal	Present	declarative	subordinate	Unambiguous	No	No	A	More_Accessible	Same_Accessibility	No
German	FOLK_E_00026	Colleagues	FOLK_S_00048	wenn er 'ne Notwendigkeit sieht natürlich	when he.NOM.SG a.ACC necessity.ACC see.SG of.course	when he thinks it is necessary, of course	APV	Final	er	ne Notwendigkeit	he.NOM.SG	a.ACC/NOM necessity.ACC/NOM	A_only	Ambiguous	3	3	human	inanimate	Pronoun	NP	1	5	1	2	Mentioned_close	New_familiar	Absent_familiar	Absent_familiar	sehen	noncausal	Present	declarative	subordinate	Unambiguous	No	No	A	More_Accessible	Same_Accessibility	No
German	FR_E_00025	StudyColleagues	FR_S_00088	wenn er sich einen anderen Platz irgendwo sucht 	if he.NOM.SG himself.DAT a.ACC different.ACC.SG position.ACC.SG anywhere search-SG	if he looks for another position anywhere else	APV	Final	er	einen anderen Platz	he.NOM.SG	a.ACC different.ACC.SG position.ACC.SG	A_only	P_only	3	3	human	inanimate	Pronoun	NP	1	6	1	3	Mentioned_close	Inferable_close	Absent_familiar	Absent_familiar	suchen	noncausal	Present	declarative	subordinate	Unambiguous	Yes	No	A	More_Accessible	Same_Accessibility	No
German	FOLK_E_00020	Family	FOLK_S_00034	wenn ich abends was ess	when I.NOM.SG in.the.evening something.ACC eat.SG	when I eat something in the evening	APV	Final	ich	was	I.NOM.SG	something.ACC/NOM	A_only	Ambiguous	1	3	human	inanimate	Pronoun	Pronoun	1	1	1	1	Mentioned_far	Non-referential	Present_salient	Non-referential	essen	causal	Present	declarative	subordinate	Unambiguous	No	No	A	No_Comparison	No_Comparison	No
German	FOLK_E_00080	Friends	FOLK_S_00467	wenn man da jemand Älteres mit Falten hinstellt	if one.NOM there someone.ACC elderly-ACC with wrinkle-DAT.PL put	if one takes an elderly person with wrinkles	APV	Final	man	jemand Älteres mit Falten	one.NOM	someone.ACC/NOM elderly-ACC.NOM with wrinkle-DAT.PL	A_only	Ambiguous	3	3	human	human	Pronoun	NP	1	5	1	2	Non-referential	New_familiar	Non-referential	Absent_familiar	hinstellen	causal	Present	declarative	subordinate	Unambiguous	No	No	A	No_Comparison	No_Comparison	No
German	FR_E_00124	NotClear_ConversationPartners	FR_S_00414	wenn Sie den Bademantel dann nicht am Strand vergessen	if you.NOM the.ACC.SG bathrobe.ACC.SG then not at.the.DAT.SG beach.DAT.SG forget	if you don't forget the bathrobe at the beach	APV	Final	Sie	den Bademantel	you.NOM/ACC	the.ACC.SG bathrobe.ACC.SG	Ambiguous	P_only	2	3	human	inanimate	Pronoun	NP	1	5	1	2	Mentioned_far	Mentioned_far	Present_salient	Absent_unfamiliar	vergessen	noncausal	Present	declarative	subordinate	Unambiguous	No	No	A	Same_Accessibility	More_Accessible	No
German	FR_E_00124	NotClear_ConversationPartners	FR_S_00414	wenn Sie nachher kein Geld mehr haben	if they.NOM.PL afterwards no.ACC.SG money.ACC.SG more have	if they don't have money anymore afterwards	APV	Final	Sie	kein Geld	they.NOM/ACC	no.ACC/NOM.SG money.ACC/NOM.SG	Ambiguous	Ambiguous	3	3	human	inanimate	Pronoun	NP	1	2	1	2	Mentioned_close	Mentioned_far	Present_salient	Inferable_nonsalient	haben	noncausal	Present	declarative	subordinate	Unambiguous	No	No	A	More_Accessible	More_Accessible	No
German	FR_E_00198	Colleagues	FR_S_00659	wenn wir diese Stützenreihe nicht zusätzlich auf die unteren Träger stellen	if we.NOM.PL this-ACC.SG support.row.ACC.SG not additionally on the.ACC.PL lower-ACC.PL beam.ACC.PL put-PL	if we do not additionally put this row of supports on the lower beams	APV	Final	wir	diese Stützenreihe	we.NOM.PL	this-ACC/NOM.SG support.row.ACC/NOM.SG	A_only	Ambiguous	1	3	human	inanimate	Pronoun	NP	1	6	1	2	Mentioned_far	Mentioned_far	Present_salient	Inferable_salient	stellen	causal	Present	declarative	subordinate	Unambiguous	No	No	A	Same_Accessibility	More_Accessible	No
German	FOLK_E_00026	Colleagues	FOLK_S_00049	wo er Initiative zeigt	where he.NOM.SG initiative.ACC.SG show.SG	where he takes initiative	APV	Final	er	Initiative	he.NOM.SG	initiative.ACC/NOM.SG	A_only	Ambiguous	3	3	human	inanimate	Pronoun	BareNoun	1	6	1	1	Mentioned_close	New_familiar	Absent_familiar	Absent_familiar	zeigen	noncausal	Present	declarative	subordinate	Unambiguous	No	Yes	A	More_Accessible	Same_Accessibility	No
German	FOLK_E_00020	Family	FOLK_S_00034	wobei ich das Gefühl hab dass er mich mag	although I.NOM.SG the.ACC.SG feeling.ACC.SG have CLAUSE	although I have the feeling that he likes me	APV	Final	ich	das Gefühl dass er mich mag	I.NOM.SG	the.ACC/NOM.SG feeling.ACC/NOM.SG that he.NOM.SG I.ACC.SG like.SG	A_only	Ambiguous	1	3	human	inanimate	Pronoun	Clause	1	7	1	6	Mentioned_far	New_familiar	Present_salient	Absent_familiar	haben	noncausal	Present	declarative	subordinate	Unambiguous	No	No	A	More_Accessible	More_Accessible	No
German	FR_E_00215	Salesman&Customer	FR_S_00790	wofür Sie Ihr Geld ausgeben	what.for you.NOM you.ACC.SG money.ACC.SG spend	what you spend your money on	APV	Final	Sie	Ihr Geld	you.NOM	you.ACC/NOM.SG money.ACC/NOM.SG	A_only	Ambiguous	2	3	human	inanimate	Pronoun	NP	2	2	1	2	Mentioned_close	New_familiar	Absent_unfamiliar	Absent_familiar	ausgeben	causal	Present	declarative	subordinate	Unambiguous	No	No	A	More_Accessible	Less_Accessible	No
German	FR_E_00124	NotClear_ConversationPartners	FR_S_00413	dass ich dreitausend Mark oder so wo hinlegen muss	that I.NOM.SG three.thousand.ACC Mark.ACC.PL or so where put.down must.SG	that I have to pay about three thousand Mark to get an apartment	APV1V2	Final	ich	dreitausend Mark oder so	I.NOM.SG	three.thousand.ACC/NOM Mark.ACC/NOM.PL or so	A_only	Ambiguous	1	3	human	inanimate	Pronoun	NP	1	7	1	4	Mentioned_close	New_familiar	Present_salient	Absent_familiar	hinlegen	noncausal	Present	declarative	subordinate	Unambiguous	No	Yes	A	More_Accessible	More_Accessible	No
German	FOLK_E_00020	Family	FOLK_S_00035	dass wir unsere Überstunden nicht gestrichen kriegen	so.that we.NOM.PL our extra.hour-ACC.PL not remove get-PL	so that our overtime hours are not being deleted	APV1V2	Final	wir	unsere Überstunden	we.NOM.PL	our.ACC/NOM.PL overtime.ACC/NOM.PL	A_only	Ambiguous	1	3	human	inanimate	Pronoun	NP	1	7	1	2	Inferable_close	New_familiar	Inferable_salient	Absent_familiar	kriegen	causal	Present	declarative	subordinate	Unambiguous	No	No	A	More_Accessible	More_Accessible	No
German	FOLK_E_00026	Colleagues	FOLK_S_00048	ob du mir grad eine Frage gestellt hast	whether you.NOM.SG I.DAT.SG just a.ACC question.ACC.SG ask have.SG	whether you just asked me a question	APV1V2	Final	du	eine Frage	you.NOM.SG	a.ACC/NOM question.ACC/NOM.SG	A_only	Ambiguous	2	3	human	inanimate	Pronoun	NP	1	4	1	2	Inferable_close	Mentioned_far	Present_salient	Absent_unfamiliar	stellen	causal	Past	declarative	subordinate	Unambiguous	Yes	No	A	Less_Accessible	More_Accessible	No
German	FOLK_E_00026	Colleagues	FOLK_S_00049	wenn er sich was Anderes überlegt hat	when he.NOM.SG himself.DAT.SG something.ACC else.ACC.SG think.of have.SG	when he has thought of something else	APV1V2	Final	er	was Anderes	he.NOM.SG	something.ACC/NOM else.ACC/NOM.SG	A_only	Ambiguous	3	3	human	inanimate	Pronoun	NP	1	4	1	2	Mentioned_close	Mentioned_close	Absent_familiar	Absent_familiar	überlegen	noncausal	Past	declarative	subordinate	Unambiguous	No	No	A	Same_Accessibility	Same_Accessibility	No
German	FR_E_00025	StudyColleagues	FR_S_00101	wenn man jetzt noch eine Facharztausbildung haben will	if one.NOM now also a.ACC specialist.medical.training.ACC.SG have want.SG	if you still want to have a residency then	APV1V2	Final	man	eine Facharztausbildung	one.NOM	a.ACC/NOM specialist.medical.training.ACC/NOM.SG	A_only	Ambiguous	3	3	human	inanimate	Pronoun	NP	1	7	1	2	Non-referential	Inferable_close	Non-referential	Absent_familiar	haben	noncausal	Present	declarative	subordinate	Unambiguous	No	No	A	No_Comparison	No_Comparison	No
German	FR_E_00124	NotClear_ConversationPartners	FR_S_00414	aber der von meinem Verlobten der hat einige hundert gekostet	but the.one.NOM.SG from my-DAT.SG fiancee.DAT.SG this.one.NOM.SG have-SG several hundred.ACC cost	but my fiancee's one cost several hundred	AV1PV2	Final	der	einige hundert	this.one.NOM.SG	several hundred.ACC/NOM	A_only	Ambiguous	3	3	inanimate	inanimate	Determiner	NP	1	5	1	2	Mentioned_close	New_familiar	Inferable_salient	Absent_familiar	kosten	noncausal	Past	declarative	main	Unambiguous	No	No	A	More_Accessible	More_Accessible	No
German	FOLK_E_00027	Couple	FOLK_S_00182	ach du hast es da aufgewärmt	oh you.NOM.SG have-SG it.ACC.SG there warm.up	oh you warmed it up there	AV1PV2	Final	du	es	you.NOM.SG	it.ACC/NOM.SG	A_only	Ambiguous	2	3	human	inanimate	Pronoun	Pronoun	1	1	1	1	Inferable_far	Mentioned_far	Present_salient	Present_salient	aufwärmen	causal	Past	declarative	main	Unambiguous	No	No	A	Less_Accessible	Same_Accessibility	No
German	FR_E_00030	StudyColleagues	FR_S_00120	also ich muss meine eigene These unheimlich widerlegen	so I.NOM.SG must-SG my-ACC.SG own-ACC.SG theory.ACC.SG a.lot refute	so I need to refute my own theory substantially	AV1PV2	Final	ich	meine eigene These	I.NOM.SG	my-NOM/ACC.SG own-NOM/ACC.SG theory.ACC.SG	A_only	Ambiguous	1	3	human	inanimate	Pronoun	NP	1	7	1	3	Mentioned_far	Mentioned_far	Present_salient	Present_salient	widerlegen	causal	Present	declarative	main	Unambiguous	No	No	A	Same_Accessibility	Same_Accessibility	No
German	FOLK_E_00080	Friends	FOLK_S_00466	das hätte noch so 'ne andere Sichtweise da auch mal gebraucht oder	that.NOM would.have-SG also so a.ACC other-ACC.SG perspective.ACC.SG there also still need or	another perspective would have been needed as well	AV1PV2	Final	das	so 'ne andere Sichtweise	that.NOM/ACC.SG	so a.ACC/NOM other-ACC/NOM.SG perspective.ACC/NOM.SG	Ambiguous	Ambiguous	3	3	inanimate	inanimate	Determiner	NP	1	8	1	4	Mentioned_far	New_familiar	Absent_familiar	Absent_familiar	brauchen	noncausal	Past	declarative	main	Ambiguous	No	No	A	More_Accessible	Same_Accessibility	No
German	FOLK_E_00026	Colleagues	FOLK_S_00046	das kann Wunder wirken	that.ACC.SG can.SG wonder.ACC.PL have.an.effect	that can work wonders	AV1PV2	Final	das	Wunder	that.ACC/NOM.SG	wonder.ACC/NOM.PL	Ambiguous	Ambiguous	3	3	inanimate	inanimate	Determiner	BareNoun	1	2	1	1	Mentioned_close	New_familiar	Absent_familiar	Absent_familiar	wirken	causal	Present	declarative	main	Unambiguous	No	Yes	A	More_Accessible	Same_Accessibility	No
German	FOLK_E_00080	Friends	FOLK_S_00466	das Thema hat mich 'n bisschen gelangweilt	the.NOM topic.NOM have-SG I.ACC.SG a little bore	I found the topic a bit boring	AV1PV2	Final	das Thema	mich	the.NOM/ACC topic.NOM/ACC	I.ACC.SG	Ambiguous	P_only	3	1	inanimate	human	NP	Pronoun	3	1	2	1	New_familiar	Inferable_far	Absent_familiar	Present_salient	langweilen	causal	Past	declarative	main	Unambiguous	No	No	A	Less_Accessible	Less_Accessible	No
German	FR_E_00124	NotClear_ConversationPartners	FR_S_00412	der hat hat mir jetzt da 'n Brief geschrieben	he.NOM.SG have-SG I.DAT.SG now there a.ACC letter.ACC.SG write	he has recently sent a letter to me	AV1PV2	Final	der	n Brief	he.NOM.SG	a.ACC/NOM letter.ACC/NOM.SG	A_only	Ambiguous	3	3	human	inanimate	Pronoun	NP	1	2	1	2	Mentioned_close	New_unfamiliar	Absent_unfamiliar	Absent_unfamiliar	schreiben	causal	Past	declarative	main	Unambiguous	Yes	No	A	More_Accessible	Same_Accessibility	No
German	FOLK_E_00080	Friends	FOLK_S_00467	die können nachts nicht mehr die Augen zumachen	they.NOM.PL can-PL at.night not anymore the.ACC.PL eye-ACC.PL close	they cannot close their eyes during the night anymore	AV1PV2	Final	die	die Augen	they.NOM/ACC	the.ACC/NOM.PL eye-ACC/NOM.PL	Ambiguous	Ambiguous	3	3	human	inanimate	Determiner	NP	1	3	1	2	Mentioned_close	Inferable_far	Absent_unfamiliar	Absent_familiar	zumachen	causal	Present	declarative	main	Unambiguous	No	No	A	More_Accessible	Less_Accessible	No
